customerid,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,spend_per_tenure,call_delay_ratio,usage_recent_score,spend_usage_ratio
1.0,22.0,Female,25.0,14.0,4.0,27.0,Basic,Monthly,598.0,9.0,1,23.92,0.14285714285714285,1.4,39.86666666666667
2.0,41.0,Female,28.0,28.0,7.0,13.0,Standard,Monthly,584.0,20.0,0,20.857142857142858,0.5,1.3333333333333333,20.137931034482758
3.0,47.0,Male,27.0,10.0,2.0,29.0,Premium,Annual,757.0,21.0,0,28.037037037037038,0.06666666666666667,0.45454545454545453,68.81818181818181
4.0,35.0,Male,9.0,12.0,5.0,17.0,Premium,Quarterly,232.0,18.0,0,25.77777777777778,0.2777777777777778,0.631578947368421,17.846153846153847
6.0,30.0,Male,41.0,14.0,10.0,10.0,Premium,Monthly,500.0,29.0,0,12.195121951219512,0.9090909090909091,0.4666666666666667,33.333333333333336
7.0,47.0,Female,37.0,15.0,9.0,28.0,Basic,Quarterly,574.0,14.0,1,15.513513513513514,0.3103448275862069,1.0,35.875
8.0,54.0,Female,36.0,11.0,0.0,18.0,Standard,Monthly,323.0,16.0,0,8.972222222222221,0.0,0.6470588235294118,26.916666666666668
14.0,42.0,Male,46.0,27.0,5.0,8.0,Premium,Quarterly,438.0,30.0,0,9.521739130434783,0.5555555555555556,0.8709677419354839,15.642857142857142
15.0,59.0,Male,21.0,17.0,2.0,14.0,Premium,Quarterly,663.0,15.0,0,31.571428571428573,0.13333333333333333,1.0625,36.833333333333336
18.0,45.0,Male,9.0,30.0,4.0,25.0,Basic,Annual,127.0,18.0,0,14.11111111111111,0.15384615384615385,1.5789473684210527,4.096774193548387
19.0,65.0,Female,40.0,2.0,1.0,6.0,Premium,Annual,396.0,21.0,0,9.9,0.14285714285714285,0.09090909090909091,132.0
20.0,62.0,Male,39.0,19.0,2.0,15.0,Premium,Quarterly,202.0,24.0,0,5.17948717948718,0.125,0.76,10.1
21.0,48.0,Male,28.0,7.0,1.0,21.0,Premium,Monthly,925.0,13.0,0,33.035714285714285,0.045454545454545456,0.5,115.625
22.0,36.0,Female,58.0,4.0,0.0,1.0,Premium,Quarterly,463.0,26.0,0,7.982758620689655,0.0,0.14814814814814814,92.6
25.0,64.0,Male,59.0,7.0,5.0,9.0,Basic,Annual,460.0,12.0,0,7.796610169491525,0.5,0.5384615384615384,57.5
26.0,65.0,Female,58.0,7.0,3.0,30.0,Premium,Annual,166.0,1.0,1,2.8620689655172415,0.0967741935483871,3.5,20.75
29.0,25.0,Female,41.0,11.0,5.0,11.0,Premium,Annual,678.0,30.0,0,16.536585365853657,0.4166666666666667,0.3548387096774194,56.5
30.0,44.0,Female,44.0,7.0,8.0,16.0,Basic,Quarterly,792.0,27.0,1,18.0,0.47058823529411764,0.25,99.0
32.0,34.0,Male,26.0,3.0,0.0,2.0,Basic,Annual,156.0,15.0,0,6.0,0.0,0.1875,39.0
34.0,27.0,Female,41.0,8.0,1.0,7.0,Premium,Monthly,943.0,12.0,0,23.0,0.125,0.6153846153846154,104.77777777777777
35.0,31.0,Female,31.0,6.0,2.0,29.0,Standard,Quarterly,329.0,6.0,1,10.612903225806452,0.06666666666666667,0.8571428571428571,47.0
37.0,59.0,Male,44.0,17.0,3.0,2.0,Basic,Quarterly,636.0,30.0,0,14.454545454545455,1.0,0.5483870967741935,35.333333333333336
38.0,56.0,Female,27.0,15.0,8.0,24.0,Standard,Monthly,384.0,6.0,1,14.222222222222221,0.32,2.142857142857143,24.0
40.0,42.0,Male,51.0,10.0,9.0,11.0,Basic,Monthly,820.0,17.0,0,16.07843137254902,0.75,0.5555555555555556,74.54545454545455
41.0,29.0,Female,28.0,23.0,7.0,16.0,Basic,Quarterly,1000.0,26.0,1,35.714285714285715,0.4117647058823529,0.8518518518518519,41.666666666666664
46.0,42.0,Female,14.0,14.0,8.0,12.0,Basic,Monthly,825.0,19.0,0,58.92857142857143,0.6153846153846154,0.7,55.0
47.0,36.0,Female,24.0,21.0,8.0,29.0,Basic,Monthly,231.0,8.0,1,9.625,0.26666666666666666,2.3333333333333335,10.5
48.0,37.0,Male,13.0,26.0,2.0,26.0,Basic,Quarterly,259.0,15.0,0,19.923076923076923,0.07407407407407407,1.625,9.592592592592593
53.0,45.0,Female,17.0,4.0,5.0,23.0,Standard,Annual,402.0,8.0,1,23.647058823529413,0.20833333333333334,0.4444444444444444,80.4
57.0,60.0,Male,24.0,11.0,9.0,10.0,Standard,Monthly,563.0,10.0,0,23.458333333333332,0.8181818181818182,1.0,46.916666666666664
58.0,57.0,Male,24.0,28.0,3.0,24.0,Premium,Annual,448.0,12.0,0,18.666666666666668,0.12,2.1538461538461537,15.448275862068966
59.0,28.0,Female,29.0,3.0,2.0,21.0,Premium,Quarterly,172.0,2.0,1,5.931034482758621,0.09090909090909091,1.0,43.0
60.0,64.0,Female,39.0,25.0,2.0,9.0,Standard,Quarterly,933.0,9.0,0,23.923076923076923,0.2,2.5,35.88461538461539
61.0,30.0,Male,57.0,21.0,8.0,24.0,Standard,Annual,576.0,6.0,1,10.105263157894736,0.32,3.0,26.181818181818183
64.0,40.0,Male,54.0,7.0,0.0,15.0,Standard,Annual,731.0,27.0,0,13.537037037037036,0.0,0.25,91.375
66.0,41.0,Male,35.0,4.0,6.0,16.0,Standard,Annual,546.0,26.0,1,15.6,0.35294117647058826,0.14814814814814814,109.2
69.0,24.0,Male,28.0,13.0,0.0,27.0,Premium,Quarterly,515.0,27.0,0,18.392857142857142,0.0,0.4642857142857143,36.785714285714285
70.0,52.0,Female,56.0,8.0,9.0,21.0,Premium,Annual,599.0,20.0,1,10.696428571428571,0.4090909090909091,0.38095238095238093,66.55555555555556
71.0,48.0,Male,57.0,29.0,1.0,19.0,Standard,Monthly,554.0,12.0,0,9.719298245614034,0.05,2.230769230769231,18.466666666666665
72.0,28.0,Female,34.0,20.0,1.0,1.0,Basic,Annual,986.0,19.0,0,29.0,0.5,1.0,46.95238095238095
76.0,64.0,Male,48.0,9.0,7.0,26.0,Premium,Annual,471.0,11.0,1,9.8125,0.25925925925925924,0.75,47.1
