customerid,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,spend_per_tenure,call_delay_ratio,usage_recent_score,spend_usage_ratio
1,22,Female,25,14,4,27,Basic,Monthly,598,9,1,23.92,0.14285714285714285,1.4,39.86666666666667
2,41,Female,28,28,7,13,Standard,Monthly,584,20,0,20.857142857142858,0.5,1.3333333333333333,20.137931034482758
3,47,Male,27,10,2,29,Premium,Annual,757,21,0,28.037037037037038,0.06666666666666667,0.45454545454545453,68.81818181818181
4,35,Male,9,12,5,17,Premium,Quarterly,232,18,0,25.77777777777778,0.2777777777777778,0.631578947368421,17.846153846153847
6,30,Male,41,14,10,10,Premium,Monthly,500,29,0,12.195121951219512,0.9090909090909091,0.4666666666666667,33.333333333333336
7,47,Female,37,15,9,28,Basic,Quarterly,574,14,1,15.513513513513514,0.3103448275862069,1.0,35.875
8,54,Female,36,11,0,18,Standard,Monthly,323,16,0,8.972222222222221,0.0,0.6470588235294118,26.916666666666668
14,42,Male,46,27,5,8,Premium,Quarterly,438,30,0,9.521739130434783,0.5555555555555556,0.8709677419354839,15.642857142857142
15,59,Male,21,17,2,14,Premium,Quarterly,663,15,0,31.571428571428573,0.13333333333333333,1.0625,36.833333333333336
18,45,Male,9,30,4,25,Basic,Annual,127,18,0,14.11111111111111,0.15384615384615385,1.5789473684210527,4.096774193548387
19,65,Female,40,2,1,6,Premium,Annual,396,21,0,9.9,0.14285714285714285,0.09090909090909091,132.0
20,62,Male,39,19,2,15,Premium,Quarterly,202,24,0,5.17948717948718,0.125,0.76,10.1
21,48,Male,28,7,1,21,Premium,Monthly,925,13,0,33.035714285714285,0.045454545454545456,0.5,115.625
22,36,Female,58,4,0,1,Premium,Quarterly,463,26,0,7.982758620689655,0.0,0.14814814814814814,92.6
25,64,Male,59,7,5,9,Basic,Annual,460,12,0,7.796610169491525,0.5,0.5384615384615384,57.5
26,65,Female,58,7,3,30,Premium,Annual,166,1,1,2.8620689655172415,0.0967741935483871,3.5,20.75
29,25,Female,41,11,5,11,Premium,Annual,678,30,0,16.536585365853657,0.4166666666666667,0.3548387096774194,56.5
30,44,Female,44,7,8,16,Basic,Quarterly,792,27,1,18.0,0.47058823529411764,0.25,99.0
32,34,Male,26,3,0,2,Basic,Annual,156,15,0,6.0,0.0,0.1875,39.0
34,27,Female,41,8,1,7,Premium,Monthly,943,12,0,23.0,0.125,0.6153846153846154,104.77777777777777
35,31,Female,31,6,2,29,Standard,Quarterly,329,6,1,10.612903225806452,0.06666666666666667,0.8571428571428571,47.0
37,59,Male,44,17,3,2,Basic,Quarterly,636,30,0,14.454545454545455,1.0,0.5483870967741935,35.333333333333336
38,56,Female,27,15,8,24,Standard,Monthly,384,6,1,14.222222222222221,0.32,2.142857142857143,24.0
40,42,Male,51,10,9,11,Basic,Monthly,820,17,0,16.07843137254902,0.75,0.5555555555555556,74.54545454545455
41,29,Female,28,23,7,16,Basic,Quarterly,1000,26,1,35.714285714285715,0.4117647058823529,0.8518518518518519,41.666666666666664
46,42,Female,14,14,8,12,Basic,Monthly,825,19,0,58.92857142857143,0.6153846153846154,0.7,55.0
47,36,Female,24,21,8,29,Basic,Monthly,231,8,1,9.625,0.26666666666666666,2.3333333333333335,10.5
48,37,Male,13,26,2,26,Basic,Quarterly,259,15,0,19.923076923076923,0.07407407407407407,1.625,9.592592592592593
53,45,Female,17,4,5,23,Standard,Annual,402,8,1,23.647058823529413,0.20833333333333334,0.4444444444444444,80.4
57,60,Male,24,11,9,10,Standard,Monthly,563,10,0,23.458333333333332,0.8181818181818182,1.0,46.916666666666664
58,57,Male,24,28,3,24,Premium,Annual,448,12,0,18.666666666666668,0.12,2.1538461538461537,15.448275862068966
59,28,Female,29,3,2,21,Premium,Quarterly,172,2,1,5.931034482758621,0.09090909090909091,1.0,43.0
60,64,Female,39,25,2,9,Standard,Quarterly,933,9,0,23.923076923076923,0.2,2.5,35.88461538461539
61,30,Male,57,21,8,24,Standard,Annual,576,6,1,10.105263157894736,0.32,3.0,26.181818181818183
64,40,Male,54,7,0,15,Standard,Annual,731,27,0,13.537037037037036,0.0,0.25,91.375
66,41,Male,35,4,6,16,Standard,Annual,546,26,1,15.6,0.35294117647058826,0.14814814814814814,109.2
69,24,Male,28,13,0,27,Premium,Quarterly,515,27,0,18.392857142857142,0.0,0.4642857142857143,36.785714285714285
70,52,Female,56,8,9,21,Premium,Annual,599,20,1,10.696428571428571,0.4090909090909091,0.38095238095238093,66.55555555555556
71,48,Male,57,29,1,19,Standard,Monthly,554,12,0,9.719298245614034,0.05,2.230769230769231,18.466666666666665
72,28,Female,34,20,1,1,Basic,Annual,986,19,0,29.0,0.5,1.0,46.95238095238095
76,64,Male,48,9,7,26,Premium,Annual,471,11,1,9.8125,0.25925925925925924,0.75,47.1
77,41,Male,59,30,5,26,Basic,Annual,628,11,1,10.64406779661017,0.18518518518518517,2.5,20.258064516129032
